User,number_of_people,avg_stress_level
u00,20.20454545,20.20454545
u01,23.66666667,23.66666667
u02,14.6,14.6
u03,4.9,4.9
u04,16.88888889,16.88888889
u05,60,60
u07,18.75,18.75
u08,13.69767442,13.69767442
u09,15,15
u10,17.93333333,17.93333333
u12,9.722222222,9.722222222
u14,19.65384615,19.65384615
u15,48,48
u16,20.9,20.9
u17,12.74193548,12.74193548
u18,7.727272727,7.727272727
u19,30.82051282,30.82051282
u20,10.85714286,10.85714286
u22,11.62068966,11.62068966
u23,2.625,2.625
u24,39.6,39.6
u25,20.21428571,20.21428571
u27,8.75,8.75
u30,36.52941176,36.52941176
u31,5.444444444,5.444444444
u32,47.14285714,47.14285714
u33,38.40625,38.40625
u34,27,27
u35,10.13636364,10.13636364
u36,8.21875,8.21875
u39,2,2
u41,27.71428571,27.71428571
u42,11.13333333,11.13333333
u43,17.81818182,17.81818182
u44,8.275862069,8.275862069
u45,14.4,14.4
u46,28.64705882,28.64705882
u47,26.76470588,26.76470588
u49,22.6969697,22.6969697
u50,4.142857143,4.142857143
u51,5.939393939,5.939393939
u52,11.30769231,11.30769231
u53,15.35483871,15.35483871
u54,23.18181818,23.18181818
u56,12.41666667,12.41666667
u57,51.66666667,51.66666667
u58,7.534883721,7.534883721
u59,42.34177215,42.34177215
