User ID,Mood,Mood1,Mood2,Exercise,Stress
59,83,49,100,36,269
19,24,21,24,44,96
16,21,23,36,38,112
49,17,10,18,25,66
58,17,15,18,30,55
00,10,11,15,37,79
17,10,11,11,21,47
10,9,4,13,20,112
08,9,8,8,31,95
51,8,8,12,21,49
33,7,12,15,34,63
57,6,13,19,32,67
36,5,6,16,24,62
04,4,1,7,12,47
42,4,7,13,11,38
44,4,7,7,44,92
22,4,2,7,20,61
32,3,3,3,25,73
53,3,8,12,21,43
56,3,2,6,3,25
27,3,2,4,11,30
01,2,2,3,7,36
52,2,4,3,10,47
24,2,2,2,9,48
35,2,4,12,10,44
46,2,5,4,13,38
47,2,2,7,9,18
07,1,2,1,13,59
02,1,2,4,12,35
03,1,2,3,8,34
30,1,1,1,6,35
23,1,1,1,17,49
14,1,4,1,8,41
18,1,1,4,10,20
12,1,3,3,9,35
43,1,6,2,34,82
45,1,1,8,7,33
50,1,0,0,5,9
54,0,3,0,2,25
39,0,1,0,9,15
41,0,1,2,1,15
34,0,0,1,3,11
31,0,0,0,8,17
15,0,0,0,5,16
25,0,0,0,5,25
20,0,0,0,3,15
05,0,0,0,0,13
09,0,0,0,0,8
13,0,0,0,0,4
